"Squad","Player","Fls","Fld","Off","Crs","Won_Aerial","Lost_Aerial","Won_percent_Aerial"
"Arsenal","Riccardo Calafiori",11,5,2,14,12,10,54.5
"Arsenal","Max Dowman",0,2,0,0,0,0,NA
"Arsenal","Eberechi Eze",2,4,1,4,4,4,50
"Arsenal","Viktor Gyökeres",6,11,2,3,13,22,37.1
"Arsenal","Kai Havertz",0,2,0,0,2,2,50
"Arsenal","Myles Lewis-Skelly",4,2,0,0,0,2,0
"Arsenal","Noni Madueke",5,4,0,26,3,2,60
"Arsenal","Gabriel Magalhães",3,9,0,0,25,17,59.5
"Arsenal","Gabriel Martinelli",1,3,0,5,1,0,100
"Arsenal","Mikel Merino",6,5,0,2,4,6,40
"Arsenal","Cristhian Mosquera",0,0,1,0,1,4,20
"Arsenal","Ethan Nwaneri",1,0,0,2,1,3,25
"Arsenal","Christian Nørgaard",0,0,0,0,0,0,NA
"Arsenal","David Raya",0,1,0,0,1,0,100
"Arsenal","Declan Rice",5,0,0,40,8,5,61.5
"Arsenal","Bukayo Saka",7,14,4,34,2,4,33.3
"Arsenal","William Saliba",5,3,0,1,17,7,70.8
"Arsenal","Jurriën Timber",10,9,0,11,6,7,46.2
"Arsenal","Leandro Trossard",2,4,1,18,2,1,66.7
"Arsenal","Ben White",2,0,0,1,2,1,66.7
"Arsenal","Martín Zubimendi",11,1,0,3,11,7,61.1
"Arsenal","Martin Ødegaard",2,3,0,5,1,1,50
"Aston Villa","Ross Barkley",0,0,0,0,0,0,NA
"Aston Villa","Marco Bizot",1,0,0,0,0,0,NA
"Aston Villa","Lamare Bogarde",6,9,0,0,3,5,37.5
"Aston Villa","Emi Buendía",11,6,0,1,4,9,30.8
"Aston Villa","Matty Cash",7,8,2,34,6,6,50
"Aston Villa","Lucas Digne",5,5,2,30,8,8,50
"Aston Villa","Harvey Elliott",0,2,0,3,0,1,0
"Aston Villa","Evann Guessand",6,6,0,10,3,5,37.5
"Aston Villa","Boubacar Kamara",4,11,0,0,18,4,81.8
