"Squad","Player","Cmp_Total","Att_Total","Cmp_percent_Total","xAG","xA_Expected","A_minus_xAG_Expected","KP","Final_Third","PPA","CrsPA","PrgP"
"Arsenal","Riccardo Calafiori",272,340,80,0.5,0.2,1.5,4,15,5,2,25
"Arsenal","Max Dowman",4,4,100,0,0,0,0,0,0,0,0
"Arsenal","Eberechi Eze",131,155,84.5,0.8,0.9,1.2,4,8,6,1,22
"Arsenal","Viktor Gyökeres",46,83,55.4,0.3,0.5,-0.3,5,2,3,0,7
"Arsenal","Kai Havertz",5,9,55.6,0,0,0,0,0,0,0,2
"Arsenal","Myles Lewis-Skelly",53,57,93,0,0,0,0,2,0,0,1
"Arsenal","Noni Madueke",73,122,59.8,0.8,0.8,-0.8,8,0,7,1,9
"Arsenal","Gabriel Magalhães",438,487,89.9,0.3,0.1,0.7,1,26,0,0,32
"Arsenal","Gabriel Martinelli",22,34,64.7,0.1,0.1,-0.1,2,2,1,0,5
"Arsenal","Mikel Merino",88,110,80,0.1,0.1,-0.1,2,11,3,0,11
"Arsenal","Cristhian Mosquera",157,173,90.8,0,0,0,0,3,0,0,5
"Arsenal","Ethan Nwaneri",72,81,88.9,0,0.1,0,1,8,2,0,13
"Arsenal","Christian Nørgaard",2,2,100,0,0,0,0,0,0,0,0
"Arsenal","David Raya",205,283,72.4,0.1,0,-0.1,1,20,1,0,3
"Arsenal","Declan Rice",443,513,86.4,1.2,1.2,0.8,12,39,8,2,54
"Arsenal","Bukayo Saka",133,192,69.3,1.4,2,-1.4,13,2,11,2,11
"Arsenal","William Saliba",443,474,93.5,0.1,0.2,-0.1,1,22,1,0,23
"Arsenal","Jurriën Timber",300,353,85,0.6,0.6,0.4,10,34,14,1,47
"Arsenal","Leandro Trossard",117,172,68,0.3,0.6,0.7,6,6,9,2,13
"Arsenal","Ben White",21,27,77.8,0,0,0,1,5,0,0,4
"Arsenal","Martín Zubimendi",431,480,89.8,0.7,0.9,-0.7,6,36,6,0,48
"Arsenal","Martin Ødegaard",111,140,79.3,0.5,0.8,0.5,3,19,9,0,26
"Aston Villa","Ross Barkley",7,8,87.5,0,0,0,0,1,0,0,2
"Aston Villa","Marco Bizot",46,67,68.7,0,0,0,0,0,0,0,1
"Aston Villa","Lamare Bogarde",148,157,94.3,0,0.1,0,2,14,1,0,8
"Aston Villa","Emi Buendía",105,131,80.2,0.4,0.6,0.6,6,13,9,0,23
"Aston Villa","Matty Cash",344,433,79.4,0.5,0.6,-0.5,6,35,4,1,30
"Aston Villa","Lucas Digne",220,307,71.7,0.6,1.1,1.4,7,7,9,5,11
"Aston Villa","Harvey Elliott",53,62,85.5,0,0.1,0,0,6,1,1,5
"Aston Villa","Evann Guessand",55,75,73.3,0,0.5,0,1,2,4,0,7
"Aston Villa","Boubacar Kamara",207,234,88.5,0.3,0.3,1.7,4,27,5,0,31
"Aston Villa","Ezri Konsa",426,450,94.7,0,0.1,0,1,33,1,0,24
"Aston Villa","Victor Lindelöf",9,11,81.8,0,0,0,0,1,0,0,2
"Aston Villa","Ian Maatsen",119,143,83.2,0.3,0.2,-0.3,4,15,3,1,15
"Aston Villa","Donyell Malen",44,58,75.9,0.2,0.1,-0.2,3,4,2,0,7
"Aston Villa","Emiliano Martínez",183,230,79.6,0,0,0,0,7,2,0,0
"Aston Villa","John McGinn",211,268,78.7,0.9,0.8,-0.9,8,14,12,6,32
"Aston Villa","Tyrone Mings",302,338,89.3,0.1,0.1,-0.1,3,28,1,0,27
"Aston Villa","Amadou Onana",91,109,83.5,0,0.1,0,0,4,0,0,9
"Aston Villa","Bradley Paul Burrowes",3,8,37.5,0,0,0,0,0,0,0,0
"Aston Villa","Morgan Rogers",149,211,70.6,1,0.6,1,7,10,6,0,23
"Aston Villa","Jadon Sancho",15,18,83.3,0,0,0,0,0,3,0,3
"Aston Villa","Youri Tielemans",195,235,83,0.2,0.4,-0.2,4,25,1,0,21
"Aston Villa","Pau Torres",238,266,89.5,0,0.2,0,0,17,0,0,19
"Aston Villa","Ollie Watkins",77,107,72,0.4,0.2,-0.4,4,4,1,0,8
"Bournemouth","Tyler Adams",323,386,83.7,0,0.2,0,1,33,0,0,33
"Bournemouth","Amine Adli",55,79,69.6,0.2,0.1,-0.2,4,1,1,0,5
