"Squad","Player","Starts_Playing","Min_Playing","Gls","Ast","G+A","G_minus_PK","PK","PKatt","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per","Ast_Per","G+A_Per","G_minus_PK_Per","G+A_minus_PK_Per","xG_Per","xAG_Per","xG+xAG_Per","npxG_Per"
"Arsenal","Riccardo Calafiori",8,614,1,2,3,1,0,0,1.9,1.9,0.5,2.4,16,25,29,0.15,0.29,0.44,0.15,0.44,0.27,0.07,0.35,0.27
"Arsenal","Max Dowman",0,29,0,0,0,0,0,0,0.1,0.1,0,0.1,4,0,6,0,0,0,0,0,0.43,0,0.43,0.43
"Arsenal","Eberechi Eze",4,373,0,2,2,0,0,0,1.1,1.1,0.8,1.9,10,22,27,0,0.48,0.48,0,0.48,0.26,0.19,0.45,0.26
"Arsenal","Viktor Gyökeres",8,665,3,0,3,2,1,1,3.4,2.6,0.3,2.9,5,7,41,0.41,0,0.41,0.27,0.27,0.46,0.04,0.5,0.36
"Arsenal","Kai Havertz",0,31,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0
"Arsenal","Myles Lewis-Skelly",0,88,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0
"Arsenal","Noni Madueke",4,304,0,0,0,0,0,0,0.3,0.3,0.8,1.1,18,9,44,0,0,0,0,0,0.09,0.25,0.34,0.09
"Arsenal","Gabriel Magalhães",8,720,1,1,2,1,0,0,0.7,0.7,0.3,1,6,32,1,0.12,0.12,0.25,0.12,0.25,0.09,0.04,0.12,0.09
"Arsenal","Gabriel Martinelli",2,195,1,0,1,1,0,0,0.8,0.8,0.1,0.9,6,5,8,0.46,0,0.46,0.46,0.46,0.36,0.06,0.42,0.36
"Arsenal","Mikel Merino",3,274,1,0,1,1,0,0,0.3,0.3,0.1,0.4,6,11,10,0.33,0,0.33,0.33,0.33,0.11,0.03,0.14,0.11
"Arsenal","Cristhian Mosquera",2,249,0,0,0,0,0,0,0,0,0,0,2,5,1,0,0,0,0,0,0,0,0,0
"Arsenal","Ethan Nwaneri",0,149,0,0,0,0,0,0,0.2,0.2,0,0.2,6,13,6,0,0,0,0,0,0.11,0.03,0.14,0.11
"Arsenal","Christian Nørgaard",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
