"Squad","Player","Starts_Playing","Min_Playing","Gls","Ast","G+A","G_minus_PK","PK","PKatt","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per","Ast_Per","G+A_Per","G_minus_PK_Per","G+A_minus_PK_Per","xG_Per","xAG_Per","xG+xAG_Per","npxG_Per","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","Cmp_Total","Att_Total","Cmp_percent_Total","xAG","xA_Expected","A_minus_xAG_Expected","KP","Final_Third","PPA","CrsPA","PrgP","Tkl_Tackles","TklW_Tackles","Blocks_Blocks","Int","Tkl+Int","Clr","Err","Fls","Fld","Off","Crs","Won_Aerial","Lost_Aerial","Won_percent_Aerial","GA","GA90","SoTA","Saves","Save_percent","CS","CS_percent","PKatt_Penalty","PKA_Penalty","PKsv_Penalty","PKm_Penalty","Save_percent_Penalty"
"Arsenal","Riccardo Calafiori",8,614,1,2,3,1,0,0,1.9,1.9,0.5,2.4,16,25,29,0.15,0.29,0.44,0.15,0.44,0.27,0.07,0.35,0.27,1,16,1,6.3,2.35,0.15,0.06,1,14.7,272,340,80,0.5,0.2,1.5,4,15,5,2,25,12,8,4,4,16,20,0,11,5,2,14,12,10,54.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arsenal","Max Dowman",0,29,0,0,0,0,0,0,0.1,0.1,0,0.1,4,0,6,0,0,0,0,0,0.43,0,0.43,0.43,0,3,0,0,9.31,0,0,NA,17.3,4,4,100,0,0,0,0,0,0,0,0,2,2,1,0,2,0,0,0,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arsenal","Eberechi Eze",4,373,0,2,2,0,0,0,1.1,1.1,0.8,1.9,10,22,27,0,0.48,0.48,0,0.48,0.26,0.19,0.45,0.26,0,12,4,33.3,2.9,0.97,0,0,16.5,131,155,84.5,0.8,0.9,1.2,4,8,6,1,22,3,3,1,1,4,3,0,2,4,1,4,4,4,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arsenal","Viktor Gyökeres",8,665,3,0,3,2,1,1,3.4,2.6,0.3,2.9,5,7,41,0.41,0,0.41,0.27,0.27,0.46,0.04,0.5,0.36,3,17,6,35.3,2.3,0.81,0.12,0.33,11.7,46,83,55.4,0.3,0.5,-0.3,5,2,3,0,7,2,2,3,0,2,6,0,6,11,2,3,13,22,37.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arsenal","Kai Havertz",0,31,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,5,9,55.6,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,2,2,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arsenal","Myles Lewis-Skelly",0,88,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,53,57,93,0,0,0,0,2,0,0,1,1,1,1,1,2,2,0,4,2,0,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arsenal","Noni Madueke",4,304,0,0,0,0,0,0,0.3,0.3,0.8,1.1,18,9,44,0,0,0,0,0,0.09,0.25,0.34,0.09,0,5,2,40,1.48,0.59,0,0,13.3,73,122,59.8,0.8,0.8,-0.8,8,0,7,1,9,3,2,2,1,4,0,0,5,4,0,26,3,2,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arsenal","Gabriel Magalhães",8,720,1,1,2,1,0,0,0.7,0.7,0.3,1,6,32,1,0.12,0.12,0.25,0.12,0.25,0.09,0.04,0.12,0.09,1,7,1,14.3,0.87,0.12,0.14,1,11.9,438,487,89.9,0.3,0.1,0.7,1,26,0,0,32,10,6,12,8,18,48,2,3,9,0,0,25,17,59.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arsenal","Gabriel Martinelli",2,195,1,0,1,1,0,0,0.8,0.8,0.1,0.9,6,5,8,0.46,0,0.46,0.46,0.46,0.36,0.06,0.42,0.36,1,5,3,60,2.31,1.38,0.2,0.33,15.5,22,34,64.7,0.1,0.1,-0.1,2,2,1,0,5,3,3,3,0,3,2,0,1,3,0,5,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arsenal","Mikel Merino",3,274,1,0,1,1,0,0,0.3,0.3,0.1,0.4,6,11,10,0.33,0,0.33,0.33,0.33,0.11,0.03,0.14,0.11,1,4,2,50,1.31,0.66,0.25,0.5,7.5,88,110,80,0.1,0.1,-0.1,2,11,3,0,11,7,2,4,3,10,3,0,6,5,0,2,4,6,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arsenal","Cristhian Mosquera",2,249,0,0,0,0,0,0,0,0,0,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,157,173,90.8,0,0,0,0,3,0,0,5,8,6,3,5,13,8,0,0,0,1,0,1,4,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
