"Squad","Team_or_Opponent","Starts_Playing","Min_Playing","Gls","Ast","G+A","G_minus_PK","PK","PKatt","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","Gls_Per","Ast_Per","G+A_Per","G_minus_PK_Per","G+A_minus_PK_Per","xG_Per","xAG_Per","xG+xAG_Per","npxG_Per","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","Cmp_Total","Att_Total","Cmp_percent_Total","xAG","xA_Expected","A_minus_xAG_Expected","KP","Final_Third","PPA","CrsPA","PrgP","Tkl_Tackles","TklW_Tackles","Blocks_Blocks","Int","Tkl+Int","Clr","Err","Fls","Fld","Off","Crs","Won_Aerial","Lost_Aerial","Won_percent_Aerial","GA","GA90","SoTA","Saves","Save_percent","CS","CS_percent","PKatt_Penalty","PKA_Penalty","PKsv_Penalty","PKm_Penalty","Save_percent_Penalty"
"Arsenal","team",99,810,16,10,26,14,2,2,14.6,13,8.2,21.2,183,400,1.78,1.11,2.89,1.56,2.67,1.62,0.91,2.53,1.44,16,131,35,26.7,14.56,3.89,0.11,0.4,14.8,4030,4863,82.9,8.2,10.2,1.8,87,303,91,11,400,134,80,89,54,188,207,5,89,92,13,179,137,121,53.1,3,0.33,19,16,84.2,6,66.7,0,0,0,0,NA
"Arsenal","opponent",99,810,3,2,5,3,0,0,5.2,5.2,4.4,9.7,125,223,0.33,0.22,0.56,0.33,0.56,0.58,0.49,1.07,0.58,3,72,19,26.4,8,2.11,0.04,0.16,17.5,2652,3442,77,4.4,3.3,-2.4,61,190,41,7,223,141,86,100,72,213,326,7,93,86,7,98,121,137,46.9,16,1.78,37,21,62.2,1,11.1,2,2,0,0,0
"Aston Villa","team",99,810,9,8,17,9,0,0,7.1,7.1,5.3,12.4,140,333,1,0.89,1.89,1,1.89,0.78,0.59,1.37,0.78,9,93,28,30.1,10.33,3.11,0.1,0.32,17.6,3654,4408,82.9,5.3,6.7,2.7,66,288,70,15,333,130,80,101,50,180,204,3,86,116,14,154,115,117,49.6,8,0.89,26,18,73.1,3,33.3,1,1,0,0,0
"Aston Villa","opponent",99,810,8,5,13,7,1,1,11.8,11,8.9,19.9,160,278,0.89,0.56,1.44,0.78,1.33,1.31,0.99,2.29,1.22,8,108,25,23.1,12,2.78,0.06,0.28,16.5,2920,3649,80,8.9,7.1,-3.9,83,250,55,19,278,189,109,89,85,274,250,6,122,86,24,162,117,115,50.4,9,1,28,19,67.9,4,44.4,0,0,0,0,NA
"Bournemouth","team",99,810,16,11,27,15,1,1,11,10.2,7.4,17.6,155,333,1.78,1.22,3,1.67,2.89,1.22,0.83,2.04,1.13,16,111,40,36,12.33,4.44,0.14,0.38,18.7,3258,4209,77.4,7.4,7.2,3.6,77,292,75,19,333,153,88,112,84,237,293,2,113,91,21,166,144,171,45.7,11,1.22,38,27,73.7,4,44.4,1,1,0,0,0
"Bournemouth","opponent",99,810,11,7,18,10,1,1,11.1,10.4,8.3,18.7,129,298,1.22,0.78,2,1.11,1.89,1.23,0.92,2.15,1.15,11,98,37,37.8,10.89,4.11,0.1,0.27,16.6,3105,4067,76.3,8.3,6.9,-1.3,70,256,66,16,298,172,111,116,62,234,292,8,97,110,13,152,171,144,54.3,16,1.78,41,25,63.4,1,11.1,1,1,0,0,0
"Brentford","team",99,810,14,8,22,12,2,3,13.4,11.1,8.9,20,119,220,1.56,0.89,2.44,1.33,2.22,1.49,0.99,2.48,1.23,14,93,36,38.7,10.33,4,0.13,0.33,14.4,2510,3353,74.9,8.9,7,-0.9,70,174,50,19,220,143,79,119,70,213,260,3,105,78,13,153,163,164,49.8,14,1.56,35,21,62.9,2,22.2,2,1,1,0,50
"Brentford","opponent",99,810,13,8,21,12,1,2,12.2,10.6,7.7,18.4,170,360,1.44,0.89,2.33,1.33,2.22,1.36,0.86,2.21,1.18,13,117,33,28.2,13,3.67,0.1,0.36,17.7,4124,4998,82.5,7.7,7.2,0.3,84,333,83,23,360,155,94,54,57,212,281,6,83,103,13,163,164,163,50.2,14,1.56,39,24,69.2,1,11.1,3,2,1,0,33.3
"Brighton","team",99,810,14,9,23,12,2,3,13.2,10.9,9,19.9,172,315,1.56,1,2.56,1.33,2.33,1.47,0.99,2.46,1.21,14,109,37,33.9,12.11,4.11,0.11,0.32,19.6,3272,4054,80.7,9,7.1,0,82,269,59,22,315,177,112,99,71,248,236,4,114,98,20,134,117,132,47,15,1.67,34,21,58.8,0,0,1,1,0,0,0
"Brighton","opponent",99,810,13,10,23,12,1,1,11.8,11,8.5,19.5,151,321,1.44,1.11,2.56,1.33,2.44,1.31,0.95,2.25,1.22,13,101,33,32.7,11.22,3.67,0.12,0.36,16.7,3555,4394,80.9,8.5,8,1.5,78,261,66,13,321,174,98,95,71,245,199,11,100,112,10,144,132,117,53,14,1.56,40,25,70,1,11.1,3,2,1,0,33.3
"Burnley","team",99,810,12,11,23,12,0,0,6.8,6.8,5.6,12.4,72,194,1.33,1.22,2.56,1.33,2.56,0.75,0.62,1.37,0.75,12,71,28,39.4,7.89,3.11,0.17,0.43,17.9,2357,3204,73.6,5.6,5,5.4,53,174,41,15,194,155,83,124,95,250,320,5,86,78,18,98,138,169,45,17,1.89,51,37,72.5,2,22.2,3,3,0,0,0
"Burnley","opponent",99,810,14,9,23,11,3,3,18.1,15.8,12.4,28.2,273,439,1.56,1,2.56,1.22,2.22,2.01,1.38,3.39,1.75,14,162,48,29.6,18,5.33,0.07,0.23,16,4783,5691,84,12.4,12.2,-3.4,124,420,115,53,439,117,67,84,55,172,202,2,81,83,12,276,169,138,55,12,1.33,28,16,57.1,2,22.2,0,0,0,0,NA
"Chelsea","team",99,810,17,12,29,16,1,1,13.4,12.6,9.8,22.4,183,374,1.89,1.33,3.22,1.78,3.11,1.49,1.08,2.57,1.4,17,122,43,35.2,13.56,4.78,0.13,0.37,17.1,4425,5210,84.9,9.8,8.9,2.2,89,344,70,11,374,147,89,79,93,240,181,9,103,109,20,161,115,98,54,11,1.23,28,17,60.7,3,33.3,0,0,0,0,NA
"Chelsea","opponent",99,810,11,10,21,11,0,0,13.1,13.1,10.9,24,128,291,1.22,1.11,2.33,1.22,2.33,1.46,1.21,2.67,1.46,11,98,28,28.6,10.89,3.11,0.11,0.39,16.1,2816,3572,78.8,10.9,7.5,-0.9,69,221,66,21,291,164,100,92,74,238,247,8,112,100,15,142,98,115,46,17,1.89,44,27,63.6,1,11.1,1,1,0,0,0
"Crystal Palace","team",99,810,12,5,17,10,2,2,17.6,16.1,11.4,27.5,103,279,1.33,0.56,1.89,1.11,1.67,1.95,1.27,3.22,1.78,12,113,40,35.4,12.56,4.44,0.09,0.25,16.2,2757,3618,76.2,11.4,9.7,-6.4,73,199,62,16,279,188,116,97,81,269,319,8,97,90,13,129,168,167,50.1,9,1,29,20,72.4,3,33.3,1,1,0,0,0
"Crystal Palace","opponent",99,810,9,3,12,8,1,1,11.7,10.9,7.3,18.2,141,388,1,0.33,1.33,0.89,1.22,1.3,0.82,2.11,1.21,9,106,28,26.4,11.78,3.11,0.08,0.29,15.6,4029,4900,82.2,7.3,8.6,-4.3,73,348,71,18,388,114,62,95,83,197,260,6,94,87,11,192,167,168,49.9,12,1.33,42,30,76.2,3,33.3,2,2,0,0,0
"Everton","team",99,810,9,7,16,8,1,1,12.5,11.7,9.3,21,142,302,1,0.78,1.78,0.89,1.67,1.39,1.03,2.42,1.3,9,99,27,27.3,11,3,0.08,0.3,16.2,2954,3839,76.9,9.3,8.8,-2.3,77,238,72,19,302,155,97,107,70,225,266,11,95,107,9,162,191,159,54.6,12,1.33,35,22,68.6,2,22.2,2,1,1,0,50
"Everton","opponent",99,810,12,10,22,11,1,2,13.6,12.2,9.1,21.3,144,342,1.33,1.11,2.44,1.22,2.33,1.51,1.01,2.52,1.35,12,117,33,28.2,13,3.67,0.09,0.33,17.2,3895,4744,82.1,9.1,8.4,0.9,81,277,69,17,342,171,88,93,71,242,284,6,110,89,17,140,159,191,45.4,9,1,28,19,71.4,4,44.4,1,1,0,0,0
"Fulham","team",99,810,7,5,12,7,0,0,9,9,6.8,15.8,167,307,0.78,0.56,1.33,0.78,1.33,1,0.76,1.76,1,7,94,24,25.5,10.44,2.67,0.07,0.29,16.2,3372,4223,79.8,6.8,6.7,-1.8,69,262,74,18,307,163,93,89,60,223,239,9,127,96,15,175,103,139,42.6,14,1.56,41,28,70.7,1,11.1,3,2,0,1,0
"Fulham","opponent",99,810,13,8,21,11,2,3,12.8,10.4,7.8,18.2,165,372,1.44,0.89,2.33,1.22,2.11,1.42,0.87,2.29,1.16,13,102,39,38.2,11.33,4.33,0.11,0.28,16.5,3611,4406,82,7.8,7.6,0.2,75,319,70,12,372,129,71,107,67,196,230,9,98,121,18,150,139,103,57.4,9,1,24,17,62.5,2,22.2,0,0,0,0,NA
"Leeds United","team",99,810,9,3,12,8,1,1,11.5,10.8,7.9,18.7,141,282,1,0.33,1.33,0.89,1.22,1.28,0.88,2.15,1.2,9,116,32,27.6,12.89,3.56,0.07,0.25,16.1,3333,4179,79.8,7.9,6.3,-4.9,81,246,55,26,282,169,103,87,81,250,252,3,92,107,9,163,135,156,46.4,14,1.56,31,18,58.1,2,22.2,1,1,0,0,0
"Leeds United","opponent",99,810,13,10,23,12,1,1,9,8.2,6,14.2,133,339,1.44,1.11,2.56,1.33,2.44,1,0.67,1.67,0.91,13,87,30,34.5,9.67,3.33,0.14,0.4,17.6,3785,4652,81.4,6,5.9,4,63,301,64,27,339,154,89,108,58,212,220,8,108,91,9,169,156,135,53.6,9,1,33,24,75.8,4,44.4,1,1,0,0,0
"Liverpool","team",99,810,16,11,27,15,1,1,15.8,15,12.5,27.5,226,457,1.78,1.22,3,1.67,2.89,1.75,1.38,3.14,1.67,16,139,40,28.8,15.44,4.44,0.11,0.38,16.8,4299,5196,82.7,12.5,9,-1.5,106,392,102,23,457,125,80,87,60,185,295,9,83,92,9,195,177,135,56.7,14,1.56,34,20,61.8,2,22.2,1,1,0,0,0
